Database Name	ODA
Database Link	http://localhost/ODA/OdaService.asmx
Evaluation GUID	d99c451c-32a2-43d1-acad-d5a8aef429a7
Plate Name	Feeder free HiPSCi 21.05.14
Measurement	Measurement1
Evaluation	Evaluation1
Population	Population - Clumped Nuclei Selected

[Data]
Row	Column	Plane	Timepoint	Field	Object No	X	Y	Bounding Box	Compound	Concentration	Cell Type	Cell Count	Clumped Nuclei Selected - Number of Nuclei Selected- per Object 	Clumped Nuclei Selected - Intensity Nucleus DAPI Mean- Sum per Object 	Clumped Nuclei Selected - Intensity Nucleus Alexa 488 Mean- Sum per Object 	Clumped Nuclei Selected - Cell Area [µm²]- Sum per Object 	Clumped Nuclei Selected - Cell Roundness- Mean per Object 	Clumped Nuclei Selected - Cell Ratio Width to Length- Mean per Object 	
1	1	1	0	1	1	709	55	[693,34,728,84]					2	6233	4708	944	0.781593	0.464553	
1	1	1	0	1	2	347	179	[327,161,365,205]					1	4656	1693	1226	0.933445	0.704221	
1	1	1	0	1	3	585	507	[579,501,592,514]					1	1471	1905	145	0.955152	0.812277	
1	1	1	0	1	4	376	538	[362,527,393,550]					2	6160	5650	535	0.825126	0.514423	
1	1	1	0	1	5	259	702	[235,677,302,730]					2	5395	3585	1532	0.780075	0.410836	
1	1	1	0	1	6	389	705	[377,694,401,721]					1	4971	2764	524	0.96445	0.801193	
1	1	1	0	1	7	531	871	[501,838,569,907]					1	7499	2707	2428	0.639737	0.638755	
1	1	1	0	1	8	1035	927	[1023,919,1042,939]					1	2937	1810	256	0.863939	0.539851	
1	1	1	0	1	9	503	950	[495,942,512,962]					1	2708	1459	260	0.973168	0.707107	
1	1	1	0	2	1	1008	437	[1000,430,1018,445]					1	3949	1410	237	0.961748	0.766965	
1	1	1	0	3	1	258	80	[247,70,280,92]					2	5159	2944	567	0.938982	0.659972	
1	1	1	0	3	2	434	183	[425,172,444,195]					1	2592	2298	329	0.946456	0.721854	
1	1	1	0	3	3	674	197	[664,184,685,215]					1	1181	1493	464	0.88271	0.525226	
1	1	1	0	4	1	1003	31	[984,9,1020,49]					1	2804	1930	1047	0.894009	0.685994	
1	1	1	0	4	2	789	69	[763,44,838,121]					2	3602	4884	1209	0.688922	0.300157	
1	1	1	0	4	3	959	144	[938,117,974,159]					1	2364	1391	815	0.724523	0.425652	
1	1	1	0	4	4	1254	176	[1218,151,1280,215]					1	3210	1531	1454	0.649657	0.403247	
1	1	1	0	4	5	478	222	[462,206,498,240]					1	5118	1961	968	0.981356	0.840577	
1	1	1	0	4	6	1187	334	[1165,318,1214,354]					1	3590	1436	894	0.82254	0.4	
1	1	1	0	4	7	1321	360	[1306,346,1337,376]					1	2526	1400	664	0.986522	0.788238	
1	1	1	0	4	8	1323	395	[1317,389,1344,403]					1	2542	1370	278	0.805605	0.394594	
1	1	1	0	4	9	892	602	[881,594,900,611]					1	3793	1453	239	0.966663	0.665912	
1	1	1	0	4	10	990	710	[980,699,999,728]					1	3479	1411	434	0.934285	0.619219	
1	1	1	0	4	11	1265	865	[1254,853,1282,877]					1	2597	2986	542	0.926087	0.730081	
1	1	1	0	5	1	627	78	[616,68,638,94]					1	4455	5984	419	0.98019	0.707107	
1	1	1	0	5	2	1071	404	[1051,384,1089,425]					2	7971	3191	1017	0.796625	0.480573	
1	1	1	0	5	3	303	602	[287,540,318,649]					2	3410	4380	1198	0.590209	0.244317	
1	1	1	0	5	4	201	683	[189,663,217,708]					1	3191	2993	711	0.6593	0.402057	
1	1	1	0	5	5	279	782	[267,775,287,796]					1	2192	2100	272	0.878152	0.518128	
1	1	1	0	5	6	294	795	[286,790,300,802]					1	1486	1211	128	0.973994	0.712262	
1	1	1	0	5	7	783	882	[768,862,798,901]					1	4208	1485	902	0.952546	0.712581	
1	1	1	0	6	1	396	270	[380,257,411,282]					1	2429	2730	517	0.928012	0.610214	
1	1	1	0	6	2	1146	284	[1137,274,1158,294]					1	2256	2385	337	0.961859	0.781223	
1	1	1	0	6	3	88	522	[69,506,105,545]					1	5611	2181	1060	0.958593	0.774042	
1	1	1	0	6	4	1024	944	[1014,935,1032,952]					1	1323	3445	228	0.917319	0.615429	
1	1	1	0	7	1	1312	106	[1300,92,1323,123]					2	4609	4621	547	0.918092	0.539892	
1	1	1	0	7	2	333	214	[324,203,342,224]					1	839	2190	305	0.941323	0.69857	
1	1	1	0	7	3	329	263	[317,251,341,276]					1	3159	1335	431	0.946254	0.763271	
1	1	1	0	7	4	572	381	[553,359,597,407]					2	7630	4104	1256	0.880245	0.585516	
1	1	1	0	7	5	1051	420	[1026,387,1077,445]					4	18709	12599	1869	0.888442	0.571549	
1	1	1	0	7	6	618	433	[603,419,632,447]					1	2819	1483	620	0.921323	0.768221	
1	1	1	0	7	7	647	485	[636,469,681,504]					2	3544	4509	862	0.857621	0.544977	
1	1	1	0	7	8	28	682	[19,673,37,693]					1	4412	1343	270	0.951975	0.657596	
1	1	1	0	7	9	222	859	[194,844,238,878]					1	1182	3965	1090	0.934337	0.639253	
1	1	1	0	8	1	1156	233	[979,130,1221,326]					10	22076	15607	16152	0.690322	0.423522	
1	1	1	0	8	2	704	249	[685,231,723,267]					1	1318	2671	938	0.901904	0.795777	
1	1	1	0	9	1	537	175	[524,165,547,184]					1	1090	2179	303	0.866076	0.640796	
1	1	1	0	9	2	127	585	[52,560,172,613]					2	6360	2760	3677	0.738978	0.425508	
1	1	1	0	9	3	650	726	[642,717,659,736]					1	3357	1336	248	0.988508	0.749775	
