Database Name	ODA
Database Location	http://localhost/ODA/OdaService.asmx
Evaluation GUID	d99c451c-32a2-43d1-acad-d5a8aef429a7
Plate Name	Feeder free HiPSCi 21.05.14
Measurement	Measurement1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Clumped Nuclei Selected - Number of Objects	Clumped Nuclei Selected - Number of Nuclei Selected- per Object  - Mean per Well	Clumped Nuclei Selected - Number of Nuclei Selected- per Object  - StdDev per Well	Clumped Nuclei Selected - Number of Nuclei Selected- per Object  - Sum per Well	Clumped Nuclei Selected - Number of Nuclei Selected- per Object  - Max per Well	Clumped Nuclei Selected - Number of Nuclei Selected- per Object  - Min per Well	Clumped Nuclei Selected - Number of Nuclei Selected- per Object  - Median per Well	Clumped Nuclei Selected - Intensity Nucleus DAPI Mean- Sum per Object  - Mean per Well	Clumped Nuclei Selected - Intensity Nucleus DAPI Mean- Sum per Object  - StdDev per Well	Clumped Nuclei Selected - Intensity Nucleus DAPI Mean- Sum per Object  - Sum per Well	Clumped Nuclei Selected - Intensity Nucleus DAPI Mean- Sum per Object  - Max per Well	Clumped Nuclei Selected - Intensity Nucleus DAPI Mean- Sum per Object  - Min per Well	Clumped Nuclei Selected - Intensity Nucleus DAPI Mean- Sum per Object  - Median per Well	Clumped Nuclei Selected - Intensity Nucleus Alexa 488 Mean- Sum per Object  - Mean per Well	Clumped Nuclei Selected - Intensity Nucleus Alexa 488 Mean- Sum per Object  - StdDev per Well	Clumped Nuclei Selected - Intensity Nucleus Alexa 488 Mean- Sum per Object  - Sum per Well	Clumped Nuclei Selected - Intensity Nucleus Alexa 488 Mean- Sum per Object  - Max per Well	Clumped Nuclei Selected - Intensity Nucleus Alexa 488 Mean- Sum per Object  - Min per Well	Clumped Nuclei Selected - Intensity Nucleus Alexa 488 Mean- Sum per Object  - Median per Well	Clumped Nuclei Selected - Cell Area [µm²]- Sum per Object  - Mean per Well	Clumped Nuclei Selected - Cell Area [µm²]- Sum per Object  - StdDev per Well	Clumped Nuclei Selected - Cell Area [µm²]- Sum per Object  - Sum per Well	Clumped Nuclei Selected - Cell Area [µm²]- Sum per Object  - Max per Well	Clumped Nuclei Selected - Cell Area [µm²]- Sum per Object  - Min per Well	Clumped Nuclei Selected - Cell Area [µm²]- Sum per Object  - Median per Well	Clumped Nuclei Selected - Cell Roundness- Mean per Object  - Mean per Well	Clumped Nuclei Selected - Cell Roundness- Mean per Object  - StdDev per Well	Clumped Nuclei Selected - Cell Roundness- Mean per Object  - Sum per Well	Clumped Nuclei Selected - Cell Roundness- Mean per Object  - Max per Well	Clumped Nuclei Selected - Cell Roundness- Mean per Object  - Min per Well	Clumped Nuclei Selected - Cell Roundness- Mean per Object  - Median per Well	Clumped Nuclei Selected - Cell Ratio Width to Length- Mean per Object  - Mean per Well	Clumped Nuclei Selected - Cell Ratio Width to Length- Mean per Object  - StdDev per Well	Clumped Nuclei Selected - Cell Ratio Width to Length- Mean per Object  - Sum per Well	Clumped Nuclei Selected - Cell Ratio Width to Length- Mean per Object  - Max per Well	Clumped Nuclei Selected - Cell Ratio Width to Length- Mean per Object  - Min per Well	Clumped Nuclei Selected - Cell Ratio Width to Length- Mean per Object  - Median per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	51	1.45098039216	1.34630940709	74	10	1	1	4226.41176471	3756.29686887	215547	22076	839	3410	2974.70588235	2605.66857673	151710	15607	1211	2181	1067.68627451	2244.50852964	54452	16152	128	567	0.870339261289	0.106322223061	44.3873023257	0.988508278511	0.590208551919	0.917319382692	0.606412603685	0.147533739422	30.9270427879	0.840576791891	0.244317115343	0.638755375653	9	0	0					
1	2	1	0	66	1.56060606061	0.913636653562	103	4	1	1	4969.6969697	3892.3125733	328000	19201	895	3492	2856.53030303	1792.59854547	188531	7501	1228	2044	1064.5	950.229790022	70257	4195	84	763	0.861042736129	0.118741203719	56.8288205845	1.03316800279	0.439442021126	0.886938832245	0.584259157449	0.155282591558	38.5611043916	0.824462589868	0.138072224458	0.581072665111	9	0	0					
1	3	1	0	67	1.76119402985	2.15385174526	118	18	1	1	5763.08955224	8599.65364125	386127	71009	977	4192	3366.79104478	4248.80519939	225575	34356	1392	2274	1385.97014925	2649.06451739	92860	20991	117	898	0.833888917937	0.136317583798	55.8705575018	1.01794058987	0.239763364792	0.859274494563	0.576088781083	0.166716236564	38.5979483325	0.862261227118	0.043070856661	0.563918737947	9	0	0					
1	4	1	0	167	2.04790419162	2.05293907219	342	17	1	1	6965.44311377	7040.96735773	1163229	56696	927	4410	3491.37125749	3292.48709138	583059	25775	1346	2091	2292.86227545	2889.96628345	382908	16114	97	1173	0.733881092033	0.154208942869	122.558142369	1.01670626606	0.307611320255	0.744819277609	0.445599668195	0.167225027758	74.4151445885	0.8	0.0870372429609	0.428872503119	9	0	0					
1	5	1	0	114	2.34210526316	2.01247853776	267	10	1	2	7967.64035088	7539.48785863	908311	39710	949	5097	4678.29824561	4154.34277078	533326	19881	1631	3483	2428.21052632	2765.83541916	276816	13517	90	1379	0.748754576073	0.145125628311	85.3580216723	1.00047189294	0.382363949448	0.744382132684	0.459458092701	0.174106347681	52.378222568	0.838273644285	0.100738571223	0.450924983186	9	0	0					
1	6	1	0	145	2.14482758621	1.9328279165	311	13	1	1	7270.97241379	7442.27677692	1054291	56825	756	4775	3575.6	3460.88444741	518462	27710	1235	2614	2260.73103448	2603.0225947	327806	17763	77	1439	0.747609057356	0.144636092012	108.403313317	1.02690302448	0.374004361843	0.760126909466	0.450725824302	0.166929373712	65.3552445237	0.884783489367	0.0931022911371	0.453561230273	9	0	0					
1	7	1	0	209	2.81818181818	3.34196144408	589	26	1	2	8173.96650718	9550.58352496	1708359	75361	1069	4479	4436.96650718	5141.26244073	927326	40678	1250	2630	3177.79425837	4207.67845053	664159	32476	129	1695	0.71240782122	0.134167458455	148.893234635	0.992571702736	0.372995775119	0.709203967972	0.407511056471	0.151375478019	85.1698108024	0.856460364116	0.12738595106	0.392699677318	9	0	0					
1	8	1	0	199	2.18592964824	2.4701455842	435	27	1	1	5992.74371859	6686.87013117	1192556	66077	891	3815	3761.77386935	4235.85404243	748593	45698	1435	2397	2411.59296482	3750.74289613	479907	36860	117	1507	0.713371000644	0.148004115488	141.960829128	1.02303713651	0.118013119444	0.708995746137	0.419556479719	0.160949155614	83.4917394641	0.835455909777	0.0847211276645	0.404991222948	9	0	0					
1	9	1	0	220	2.28636363636	2.14854638225	503	14	1	1	6437.55454545	6369.86942597	1416262	43829	895	4192	3869.29545455	3573.99358111	851245	22044	1346	2814	2825.60909091	3365.8512343	621634	23645	91	1720	0.717952951977	0.136045582898	157.949649435	1.02588588687	0.373002724534	0.718525956052	0.416850399871	0.156093511357	91.7070879716	0.870729541615	0.113487390054	0.415479035503	9	0	0					
1	10	1	0	200	2.415	2.17864809864	483	15	1	2	5907.16	5792.86541037	1181432	35201	891	3645	3937.89	3877.09273014	787578	27123	1340	2775	2627.465	2679.18671729	525493	16666	127	1978	0.736961620389	0.13395300616	147.392324078	1.01794058987	0.283986069034	0.719036075294	0.436948387111	0.157160682679	87.3896774222	0.834683590768	0.077220030552	0.423004872122	9	0	0					
1	11	1	0	181	2.83425414365	3.22061728409	513	25	1	2	7584.03867403	8510.562183	1372711	67281	931	4801	4990.62430939	5625.49966198	903303	43930	1480	3133	3110.40883978	3926.60701691	562984	32752	109	1777	0.708666261506	0.118370686685	128.268593333	0.968084956559	0.317314571887	0.71749725308	0.412929578484	0.130406706667	74.7402537056	0.808452083454	0.143958545907	0.400568803355	9	0	0					
1	12	1	0	195	2.72820512821	3.48826816674	532	31	1	2	6116.98461538	8149.67269565	1192812	61824	914	3506	4821.53333333	6215.57739666	940199	53056	1499	3162	3258.72820513	4953.09386526	635452	46467	135	1881	0.729597244496	0.125741411918	142.271462677	1.01846753444	0.275368184426	0.714678514524	0.427258776272	0.146397067116	83.3154613729	0.836199014454	0.0818557329136	0.410642329504	9	0	0					
2	1	1	0	20	1.4	0.753937034925	28	4	1	1	5588.75	4570.88855666	111775	18789	1046	4741	3055.1	1688.18815676	61102	6125	1389	2567	982.1	930.697582179	19642	2937	113	610	0.834844238978	0.103983848685	16.6968847796	0.951847596817	0.601722343271	0.849475287092	0.572984004997	0.121566183899	11.4596800999	0.776492869556	0.329980468646	0.580088179681	9	0	0					
2	2	1	0	30	0.966666666667	0.668675135459	29	2	0	1	2713.93333333	3169.75570617	81418	13946	0	1767	2463.8	2161.81413919	73914	7182	0	1834	2093.63333333	8736.11068865	62809	48289	0	548	0.805254601508	0.149225109801	18.5208558347	0.990136102614	0.501930693389	0.85352071925	0.527968104418	0.192116806194	12.1432664016	0.789843788992	0.169894259262	0.535107834411	9	0	0					
2	3	1	0	28	1.10714285714	0.416269652125	31	3	1	1	3066.75	2466.49182	85869	11784	882	2763	3275.57142857	2907.41025693	91716	13084	1384	2226	737.607142857	733.158077002	20653	2735	80	541	0.859405118852	0.12194541233	24.0633433279	1.00503614823	0.511192192968	0.882101730558	0.608496618245	0.166374015707	17.0379053109	0.831800391856	0.159645625257	0.641463409398	9	0	0					
2	4	1	0	131	2.25954198473	2.42926955232	296	18	1	1	7539.19847328	8655.04975537	987635	56653	900	4672	4361.19083969	4436.90147099	571316	28255	1410	2977	2569.12977099	3119.95120868	336556	19540	97	1494	0.737789689501	0.120544301229	96.6504493246	1.02769389464	0.472796898863	0.714774045361	0.438551174057	0.149484268731	57.4502038014	0.880551294092	0.147797921515	0.415669949853	9	0	0					
2	5	1	0	102	2.58823529412	2.99621193574	264	20	1	2	8419.95098039	9033.04492743	858835	62687	895	5867	4488.37254902	4684.62673032	457814	30423	1243	2904	2969.21568627	3896.19337614	302860	26026	107	1685	0.729685960901	0.12507320576	74.4279680119	1.00202775318	0.475283020737	0.717114390776	0.431572793811	0.146810946533	44.0204249687	0.772383982948	0.179993466109	0.419995623883	9	0	0					
2	6	1	0	100	1.8	1.31040898851	180	7	1	1	5417.89	4675.12536621	541789	25923	954	3986	3249.16	2460.23636756	324916	12919	1317	2022	1872	1911.69058927	187200	10778	105	1273	0.730951750287	0.149786695661	73.0951750287	1.0392366099	0.391591285252	0.718840265177	0.429545955448	0.16172756753	42.9545955448	0.8049844719	0.109555046147	0.425022243129	9	0	0					
2	7	1	0	145	2.70344827586	2.7083311229	392	16	1	2	6291.5862069	6950.71775929	912280	35209	895	3479	5351.65517241	5273.45092233	775990	28484	1530	3142	3084.88965517	3483.48646019	447309	23178	108	1598	0.759711543627	0.121488138404	110.158173826	0.988802941158	0.356680371787	0.758806664726	0.464463657885	0.1503327758	67.3472303933	0.829442973856	0.14933885194	0.437845587746	9	0	0					
2	8	1	0	175	2.52	2.98817593229	441	26	1	1	6696.6	8185.9499354	1171905	67522	769	4034	4636.26857143	5325.66718953	811347	43432	1435	2958	2845.27428571	3971.8487146	497923	30000	85	1507	0.710558758282	0.120886135979	124.347782699	1.03982704525	0.444869448634	0.709933266798	0.412826369102	0.142468123278	72.2446145928	0.815668070739	0.129364041036	0.404468851402	9	0	0					
2	9	1	0	136	2.36029411765	2.83541830245	321	19	1	1	7645.49264706	9809.2021339	1039787	64503	1031	4753	4776.89705882	5150.95476411	649658	30422	1508	3211	2666	3899.62699831	362576	26527	70	1405	0.752048280676	0.13136507694	102.278566172	1.00064234892	0.340488317153	0.736877835554	0.458539605049	0.157014751102	62.3613862866	0.826046573249	0.115069483114	0.427097228188	9	0	0					
2	10	1	0	116	2.48275862069	2.66207751045	288	18	1	2	6016.46551724	7048.45994456	697910	50519	1473	3824	4859.12068966	5403.63379211	563658	38840	1472	3050	2678.51724138	3482.70500937	310708	20298	125	1497	0.738926628701	0.125415436891	85.7154889293	1.01503329693	0.42199372718	0.726644059059	0.446207361954	0.152634073312	51.7600539867	0.86390464572	0.143871899464	0.42914787053	9	0	0					
